deleted,number,value
f,170.315 (a)(1),GAP-EP
f,170.315 (a)(1),GAP-EH/CAH
f,170.315 (a)(1),EH/CAH Stage 2
f,170.315 (a)(1),EH/CAH Stage 3
f,170.315 (a)(1),EP Stage 3
f,170.315 (a)(1),EP Stage 2
f,170.315 (a)(10),EP Stage 3
f,170.315 (a)(10),EH/CAH Stage 3
f,170.315 (a)(10),EC ACI Transition
f,170.315 (a)(10),EP Stage 2
f,170.315 (a)(10),EC ACI
f,170.315 (a)(10),EH/CAH Stage 2
f,170.315 (a)(13),EH/CAH Stage 2
f,170.315 (a)(13),EC ACI Transition
f,170.315 (a)(13),EP Stage 3
f,170.315 (a)(13),EH/CAH Stage 3
f,170.315 (a)(13),EP Stage 2
f,170.315 (a)(13),EC ACI
f,170.315 (a)(2),EH/CAH Stage 2
f,170.315 (a)(2),GAP-EH/CAH
f,170.315 (a)(2),GAP-EP
f,170.315 (a)(2),EP Stage 3
f,170.315 (a)(2),EH/CAH Stage 3
f,170.315 (a)(2),EP Stage 2
f,170.315 (a)(3),EH/CAH Stage 3
f,170.315 (a)(3),GAP-EH/CAH
f,170.315 (a)(3),EP Stage 3
f,170.315 (a)(3),GAP-EP
f,170.315 (a)(3),EH/CAH Stage 2
f,170.315 (a)(3),EP Stage 2
f,170.315 (b)(1),RT7 EH/CAH Stage 3
f,170.315 (b)(1),RT7 EH/CAH Stage 2
f,170.315 (b)(1),RT8 EC ACI
f,170.315 (b)(1),RT8 EH/CAH Stage 3
f,170.315 (b)(1),RT7 EP Stage 2
f,170.315 (b)(1),RT7 EC ACI
f,170.315 (b)(1),RT7 EP Stage 3
f,170.315 (b)(1),RT8 EP Stage 3
f,170.315 (b)(1),RT7 EC ACI Transition
f,170.315 (b)(2),EH/CAH Stage 3
f,170.315 (b)(2),EP Stage 3
f,170.315 (b)(2),EH/CAH Stage 2
f,170.315 (b)(2),EC ACI
f,170.315 (b)(2),EC ACI Transition
f,170.315 (b)(2),EP Stage 2
f,170.315 (b)(3),EC ACI
f,170.315 (b)(3),EP Stage 3
f,170.315 (b)(3),EH/CAH Stage 3
f,170.315 (b)(3),EH/CAH Stage 2
f,170.315 (b)(3),EC ACI Transition
f,170.315 (b)(3),EP Stage 2
f,170.315 (e)(1),RT2a EH/CAH Stage 3
f,170.315 (e)(1),RT2a EP Stage 2
f,170.315 (e)(1),RT4a EP Stage 2
f,170.315 (e)(1),RT4b EC ACI Transition
f,170.315 (e)(1),RT2a EC ACI Transition
f,170.315 (e)(1),RT2b EC ACI Transition
f,170.315 (e)(1),RT2a EH/CAH Stage 2
f,170.315 (e)(1),RT2b EH/CAH Stage 2
f,170.315 (e)(1),RT4a EH/CAH Stage 2
f,170.315 (e)(1),RT4b EH/CAH Stage 2
f,170.315 (e)(1),RT2b EP Stage 2
f,170.315 (e)(1),RT4b EP Stage 2
f,170.315 (e)(1),RT4a EC ACI Transition
f,170.315 (e)(1),RT2a EP Stage 3
f,170.315 (e)(1),RT2b EP Stage 3
f,170.315 (e)(1),RT4a EP Stage 3
f,170.315 (e)(1),RT4b EP Stage 3
f,170.315 (e)(1),RT4b EC ACI
f,170.315 (e)(1),RT2a EC ACI
f,170.315 (e)(1),RT2b EC ACI
f,170.315 (e)(1),RT4a EC ACI
f,170.315 (e)(1),RT2b EH/CAH Stage 3
f,170.315 (e)(1),RT4a EH/CAH Stage 3
f,170.315 (e)(1),RT4b EH/CAH Stage 3
f,170.315 (e)(2),EC ACI
f,170.315 (e)(2),EH/CAH Stage 2
f,170.315 (e)(2),EC ACI Transition
f,170.315 (e)(2),EP Stage 3
f,170.315 (e)(2),EP Stage 2
f,170.315 (e)(2),EH/CAH Stage 3
f,170.315 (e)(3),EC ACI
f,170.315 (e)(3),EH/CAH Stage 3
f,170.315 (e)(3),EP Stage 3
f,170.315 (g)(8),RT2a EC ACI Transition
f,170.315 (g)(8),RT2c EC ACI Transition
f,170.315 (g)(8),RT4a EC ACI Transition
f,170.315 (g)(8),RT4c EH/CAH Stage 2
f,170.315 (g)(8),RT2c EH/CAH Stage 2
f,170.315 (g)(8),RT2a EH/CAH Stage 2
f,170.315 (g)(8),RT4c EC ACI Transition
f,170.315 (g)(8),RT2c EP Stage 2
f,170.315 (g)(8),RT2a EP Stage 2
f,170.315 (g)(8),RT4c EH/CAH Stage 3
f,170.315 (g)(8),RT4a EH/CAH Stage 3
f,170.315 (g)(8),RT2c EH/CAH Stage 3
f,170.315 (g)(8),RT2a EH/CAH Stage 3
f,170.315 (g)(8),RT4c EC ACI
f,170.315 (g)(8),RT4a EC ACI
f,170.315 (g)(8),RT2c EC ACI
f,170.315 (g)(8),RT2a EC ACI
f,170.315 (g)(8),RT4c EP Stage 2
f,170.315 (g)(8),RT2a EP Stage 3
f,170.315 (g)(8),RT2c EP Stage 3
f,170.315 (g)(8),RT4a EP Stage 3
f,170.315 (g)(8),RT4c EP Stage 3
f,170.315 (g)(8),RT4a EP Stage 2
f,170.315 (g)(8),RT4a EH/CAH Stage 2
f,170.315 (g)(9),RT2a EP Stage 3
f,170.315 (g)(9),RT2a EP Stage 2
f,170.315 (g)(9),RT4a EP Stage 2
f,170.315 (g)(9),RT2c EC ACI
f,170.315 (g)(9),RT4a EC ACI
f,170.315 (g)(9),RT4c EC ACI
f,170.315 (g)(9),RT2a EH/CAH Stage 3
f,170.315 (g)(9),RT4c EH/CAH Stage 3
f,170.315 (g)(9),RT2c EH/CAH Stage 3
f,170.315 (g)(9),RT4c EH/CAH Stage 2
f,170.315 (g)(9),RT2a EH/CAH Stage 2
f,170.315 (g)(9),RT4c EC ACI Transition
f,170.315 (g)(9),RT2a EC ACI Transition
f,170.315 (g)(9),RT4c EP Stage 2
f,170.315 (g)(9),RT4a EH/CAH Stage 3
f,170.315 (g)(9),RT2c EH/CAH Stage 2
f,170.315 (g)(9),RT4a EH/CAH Stage 2
f,170.315 (g)(9),RT4a EC ACI Transition
f,170.315 (g)(9),RT2c EC ACI Transition
f,170.315 (g)(9),RT2a EC ACI
f,170.315 (g)(9),RT4c EP Stage 3
f,170.315 (g)(9),RT4a EP Stage 3
f,170.315 (g)(9),RT2c EP Stage 3
f,170.315 (g)(9),RT2c EP Stage 2
